Name,img,description
Greek Week,https://se-infra-imageserver2.azureedge.net/clink/images/3a8178b4-90bd-4fbc-9dc4-51b4b6cc5d6c551be200-4f42-4ab8-8950-0eeab538e304.jpg?preset=med-sq,Philanthropy and community service club for all recognized Greek organizations
NA,NA,"Chico State's Green Campus works under the direction and advisement of the Campus Sustainability Manager and in collaboration with all campus partners to further our sustainability goals and commitments of working toward climate neutrality by 2030. Green Campus leaders and interns are key catalysts in building a campus community and culture of sustainability through research, peer education, and program and project development and implementation."
Health Professionals Association (HPA),https://se-infra-imageserver2.azureedge.net/clink/images/49152971-89b8-4c01-816c-8fd50d7f2e69309b4280-09b8-4570-9d46-d51b8f6ffaf0.png?preset=med-sq,The Health Professionals Association is a student club to promote wellness within our campus and the greater Chico community. It is a great opportunity to meet new people and create future networking opportunities. We volunteer at various events and start fundraisers for the Health and Community Services Department. It is our mission to have fun while making a positive impact on the community's health.
Hillel/Jewish Student Union,https://se-infra-imageserver2.azureedge.net/clink/images/edbced69-56a4-4e67-9a2b-caf9154a91bb9deca83f-77aa-42a9-b49a-4b9a7a6d3e56.jpg?preset=med-sq,"Hillel/Jewish Student Union is an on-campus social club for Jewish students who want to meet other Jews, have fun, celebrate the Holidays together, further their education about their Jewish heritage and learn about Israel, the Peace Process, study or work programs available in Israel and much, much more. We always look for new active members who are interested in leadership rolls and your ideas are most welcome. Feel free to look for, befriend and talk to any of the Hillel interns for information or just a friendly smile!! Our weekly meetings are on Thursday from 6:30-7:30! Hope to see you all there! Feel free to stop by anytime!"
Hmong Student Association,https://se-infra-imageserver2.azureedge.net/clink/images/704cba04-08ee-4c0a-a189-92555e1f01a0b281e30c-bd84-40d4-add8-33eb9c6c0bbd.jpg?preset=med-sq,"Welcome to CSU, Chico Hmong Student Association's (HSA) homepage. Our founding fathers, Tommy Her, Kenny Her and Ja Pao Xiong established the organization in 1994. Today, our mission is to support and empower students through cultural awareness and community engagement by creating opportunities to establish future leaders."
Hungry Wildcat Food Pantry,https://se-infra-imageserver2.azureedge.net/clink/images/4f694303-a17d-4bc3-a2ac-dec85642780139896c83-3d34-47ac-86fc-32d4900157fb.jpg?preset=med-sq,"Established in 2013, the Chico State Hungry Wildcat Food Pantry is a collaborative effort of campus and community-based organizations whose goal is to improve student success through the provision of supplemental food, nutritious meals, CalFresh food benefits and referral services for students experiencing food insecurity and poverty. To date, more than 23 tons of food have been distributed to 2,500 students in need. For more information, please visit pantry.csuchico.edu and follow us on Twitter, Facebook and Instagram @HungryWildcats. You Can Help: Visit chicocares.csuchico.edu or TEXT chicocares to 71777. All donations will go directly towards the purchase of helathy foods and organic produce from our local food bank and farmers. Thank You!"
IEEE - Eta Kappa Nu,https://se-infra-imageserver2.azureedge.net/clink/images/b11d20f7-1847-4566-b4a9-7963912e92280ec0fd05-53a2-43ca-b0fe-a69cdb0eda49.jpg?preset=med-sq,"IEEE-Eta Kappa Nu (IEEE-HKN), the honor society of the Institute of Electrical and Electronics Engineers (IEEE), is dedicated to encouraging and recognizing individual excellence in education and meritorious work, in professional practice, and any of the areas within the IEEE-designated fields of interest. We also provide tutoring and mentoring services for Electrical Engineering students."
Inline Hockey,https://se-infra-imageserver2.azureedge.net/clink/images/3c512dbb-6b3a-4c45-bc0a-161bf0e10322eb32fff6-0ec8-4893-be83-c64047755e9c.JPEG?preset=med-sq,"Welcome to the Chico State Hockey Team Page! We are an active sport club here on campus who competes in the Western Collegiate Roller Hockey League (WCRHL) against schools like CSU Fullerton, Cal Poly (SLO), UCSB, Long Beach, and ASU. Our club has had great success including winning Regional Championships in 2012 and competing in National Championships in locations such as San Jose, California, Salt Lake City, Utah, Independence, Missouri, Cedar Rapids, Iowa, and Fort Myers Florida. We are always seeking new players to join our team and be a part of our organization! Follow us here to stay updated on the team and be sure to checkout our Instagram! _chico_state_hockey_"
InterVarsity Christian Fellowship,https://se-infra-imageserver2.azureedge.net/clink/images/191d4429-5c09-497d-bc4f-5133d4814b6ddffb1ecf-0da9-452d-939b-148172d0bae9.png?preset=med-sq,"College is all about shaping how you see the world, and making friendships that last a lifetime. InterVarsity is an interdenominational Christian group and we welcome people of all backgrounds and beliefs to explore and learn about Jesus. We love talking about tough life questions, and providing a place for Bible study, reflection, prayer, community, ridiculous late night In N Out runs, leadership development and a whole lot of other awesomeness. Hope we get to meet you soon!"
Investor's Club,https://se-infra-imageserver2.azureedge.net/clink/images/43cd6cd1-3f30-4fc4-be14-ba460a26377cc876fa7a-9f3e-4b49-b86e-578d72412edf.png?preset=med-sq,"Whether you are a seasoned veteran or just curious, The Investor's Club will provide you the opportunity to hone your analytical skills and develop a greater understanding of investments. If you have ever dreamt of an early retirement, financial freedom, or a shorter work week then this is the club for you! Our discussions and talks by academic and industry professionals will cover market conditions, strategy, and investment vehicles such as stocks, bonds, commodities, derivatives, Forex, real estate and many others. This club is designed to give you the tools to make sound investment decisions and grow your portfolio to new heights!"
IOTA IV Chapter of Sigma Lambda Chi International Construction Honor Society,https://se-infra-imageserver2.azureedge.net/clink/images/324d2f44-3064-48fc-a3d6-2f8e1b6dc22adafd35e9-5a76-40df-925d-ad7284cfff62.jpg?preset=med-sq,The purpose of Sigma Lambda Chi is to provide recognition to outstanding students in the construction curriculum. Sigma Lambda Chi is the society that offers students the opportunity to be recognized locally and internationally for their academic accomplishments as a construction major.
Just Unity Sistas,https://se-infra-imageserver2.azureedge.net/clink/images/c7015856-78c0-4381-9069-5583ff0423c37703281e-7205-4032-b858-a7730466df14.png?preset=med-sq,Just Unity Sistas or justUS is a student run organization that focuses on the advancement and empowerment of Black women with the intent of unifying Black women on campus and beyond.
Kappa Sigma,https://se-infra-imageserver2.azureedge.net/clink/images/d03d1086-db35-4d15-bdd1-facc8267b98a69faa653-672c-4eb4-a1ee-d18d26abcdae.jpg?preset=med-sq,"Mission The Fraternity should complement and enhance the educational mission of the host institution. The Fraternity is committed to fostering a close cooperative partnership with all colleges and universities where its chapters exist. The Fraternity should promote academic achievement and assist each member to achieve his academic potential. By helping members adjust to the college environment, we can help them pursue their degree goals. Co-curricular activities can be as valuable as the classroom experience; hence, the Fraternity should promote involvement in all aspects of campus life. The Fraternity should promote the ideal of Brotherhood. The creation of lifelong friendships is a primary benefit of Fraternity membership. The Fraternity fulfills the need of students to belong to an extended family and frequently provides the opportunity to enhance those personal relationships through group living situations. As Brothers, our members have an obligation to have a caring concern for the welfare of our members. Brotherhood is a lifetime commitment; therefore, we should encourage strong alumni-undergraduate relationships for the mutual benefit of the students and the alumni. The Fraternity should actively contribute to the personal growth and development of its members. We teach young men social skills that will benefit them throughout their lifetime. The multitude of leadership opportunities available through the Fraternity prepares members for success in their chosen careers. Chapters should organize well-rounded programs and strive for excellence and quality in all undertakings. The Fraternity should promote ethical behavior and decision-making. The lessons taught from Fraternity ritual should be incorporated into the daily lives of the members. Kappa Sigmas are expected to act as gentlemen at all times, and the Fraternity must demand the highest standards of personal conduct. The Fraternity should instill a sense of responsibility and integrity. The dignity of all persons shall always be respected; intolerant or abusive behavior cannot be tolerated. The Fraternity should encourage service to others. Members, individually and collectively, should work toward the betterment of their campus and community... and in so doing contribute to the betterment of themselves."
KCSC Radio,https://se-infra-imageserver2.azureedge.net/clink/images/353ac853-46ac-4a9b-87b3-b54dec7f5aac0a080620-fa28-4e5d-a76f-156d02779063.png?preset=med-sq,"CSU, Chico’s student-owned and operated college radio station, KCSC, offers hands-on radio and music industry experience. KCSC interns learn the fundamentals of internet radio operations through on-air experience, production and promotion. In addition to broadcasting over the Internet, KCSC offers opportunities in management and leadership, as well as technical and electrical audio workshops. All efforts combine to produce more than 80 hours of live radio weekly. Non-commercial KCSC is home to one of Northern California’s largest, most eclectic record libraries featuring an array of rare and out of print collector records. www.kcscradio.com"
Lambda Chi Alpha,https://se-infra-imageserver2.azureedge.net/clink/images/61f41007-bd2f-4d20-afd8-4b791fe51efef7531a55-3a77-4723-a5ab-2bb1ec229b5a.jpg?preset=med-sq,"Nickname: “Lambda Chi” or “Lambda’s” Colors: Purple, Green & Gold National Founding Date: November 2nd, 1909 Local Founding Date: Upcoming: September 27th, 2015 Motto: “Vir Quisque Vir” – Every Man, a Man Lambda Chi Alpha was founded in 1909 at Boston University and has since emerged as one of the most successful greek organizations to date with nearly 200 active chapters through out the U.S and Canada. Lambda Chi Alpha was an on campus fraternity at Chico State through the 1990's until it faced some issues and was forced to close its doors in the early 2000's. In the fall of 2013, a group of Chico state undergraduate students began operating as the interest group Omicron Alpha Pi behind the belief that with dedication and perseverance they could come together with the common goal of re-colonizing Lambda Chi Alpha here at Chico State. The interest group grew in size and brotherhood, and after one full year in operation as ""OAP"", nationals agreed to return to Chico and appeal to the IFC board on campus who voted to allow the organization to return to the university. Heading into Fall of 2015 the colony is now composed of 65 active members and is preparing to present for their charter. The re-colonization of Lambda Chi Alpha is based on the mission of building good men into great men, and for its brothers to uphold the fraternity's 7 core values in order to better their lives and the lives of those around them."
Lambda Theta Nu,https://se-infra-imageserver2.azureedge.net/clink/images/f78d6b1d-43fb-4d52-8800-0e8eda2ae4ab229ca239-bac8-46d7-9148-7ca9ea197578.jpeg?preset=med-sq,"The purpose of Lambda Theta Nu Sorority, Inc. shall be to open doors of opportunity to the Latinas of our community. Our primary focus is academic excellence and meeting the needs of Latina women in higher education. Lambda Theta Nu Sorority, Inc. also promotes the advancement of Latinas through various campus activities and community services, and provides an environment for personal growth within a unit of Sisterhood. Lambda Theta Nu Sorority, Inc.'s priorities, however, will be placed upon academic excellence and community service."
"Lambda Theta Phi Latin Fraternity, Inc.",https://se-infra-imageserver2.azureedge.net/clink/images/b35fb7d6-c097-4bd1-b7c7-cb27551adc1223e20eff-815f-4264-beb4-3ef0880af08a.jpg?preset=med-sq,"Lambda Theta Phi Latin Fraternity, Inc. is a Latino-based fraternity; but, membership is open to all gentlemen of all different backgrounds. Lambda Theta Phi is the first Latino Fraternity in the Nation since December 1st, 1975. Since then, our mission is to cultivate a spirit of brotherhood, to value education, to promote unity among Latinos, to be proud of and cherish their heritage, to assert roles of leadership, to develop character, to practice chivalry, and to serve mankind has never been stronger than it is now and will continue to grow."
Latinas in Action,https://se-infra-imageserver2.azureedge.net/clink/images/c7470a99-c068-46b0-9496-b4fa4ba3fb4c796f48b8-e8a6-41ba-9813-10d695d241cb.jpg?preset=med-sq,"Latinas in Action is an organization to create a welcoming environment for the Latino community and anyone who shares our values and our mission. Latinas in Action will focus on career opportunities through nature by providing its members and the public with events and resources.Through these goals we hope to enrich ourselves, families, and the masses to further promote awareness."
Latinos in Technical Careers (LTC),https://se-infra-imageserver2.azureedge.net/clink/images/e6f10c84-1339-4d16-aca3-c36bb720b47a8f672ddb-40bf-4f6e-bc69-c088af1d0329.jpg?preset=med-sq,"At LTC we know you want to be invincible. In order to do that you need the competitive advantage in STEM and/or your respective field. The problem is it's hard to do it alone which makes you feel powerless. We genuiunely believe the world needs more minorities in technical fields. We understand being a minority in STEM can be isolating, which is why we, through the power of Familia, have been guiding Hispanics in STEM for 35 years."
LeadCat,https://se-infra-imageserver2.azureedge.net/clink/images/874e4a07-fe64-4047-a15a-4ad06512197458b0d838-4182-4809-8cf2-bde71e16f7ef.png?preset=med-sq,"Are you an incoming student, freshman or transfer, and looking to get involved? Are you searching for your first great experience at Chico State? Apply to be a LeadCat 2019 participant!"
Leaders Educating for the Advancement of Dreamers,https://se-infra-imageserver2.azureedge.net/clink/images/c21a0543-192e-4ad4-aa0b-60584ba659c6000341be-42f7-4a97-9315-52f3feb45279.jpg?preset=med-sq,"Coalition of undocumented California State University, Chico students along with allies interested in helping the cause. The club will work towards bringing awareness to the campus community and overall educating about the lives, and struggles of DREAM students."
Masters of Social Work Student Association (MSW),https://se-infra-imageserver2.azureedge.net/clink/images/29f3b0ab-443c-476e-8990-6cc844ef1ec5bd2af846-c601-4f77-9a66-0f949e0b1f35.jpg?preset=med-sq,"The MSW Student Association is an official campus organization for CSU, Chico MSW students. Participation in the MSW club provides opportunities for those interested in volunteer activities on campus and in the community in a variety of settings to develop and strengthen the skills and knowledge as professional social workers."
Mechanical Contractors Association (MCA),https://se-infra-imageserver2.azureedge.net/clink/images/db075608-3121-4e7d-aa4d-84923b66cc0b1edb66cb-f2d9-4b3c-abcf-ed76c2673854.jpg?preset=med-sq,President - Alec Dominguez Vice President - Wyatt Hattich Secretary - Ryan Smith Treasurer - Max Wulf 
Men of CHICO,https://se-infra-imageserver2.azureedge.net/clink/images/5f770426-d7a3-4d6e-945c-d58adc76de79aa105e33-fd71-42a5-b90e-80994ec7d10d.jpg?preset=med-sq,"Men of CHICO (Culture, Honor, Integrity, Courage, Opportunity) aims to empower, guide, and support men of color at CSU, Chico. We seek to instill a sense of cultural, communal, and academic esteem in order to produce scholarly astute change agents."
Men's Basketball,https://se-infra-imageserver2.azureedge.net/clink/images/6da07342-2765-438a-85d6-23d32d9c701539fcc130-5e2d-49a5-85e6-4789508d33e1.jpg?preset=med-sq,"This organization will meet to discuss, practice, and play the game of basketball. We will be playing pick-up games and competitive tournaments."
Men's Lacrosse,https://se-infra-imageserver2.azureedge.net/clink/images/d4e79957-bcae-409c-b76a-101954f719af96d07555-bff7-4a05-893e-5efbce97b38c.jpg?preset=med-sq,"This club continues to succeed in the most competitive division in the MCLA and is always moving up in the polls. We preach hard work, leadership, and loyalty. We show our gratitude to the community regularly by giving back through various fundraisers and clinics, and we strive to create a family like environment on and off the field."
Men's Rugby,https://se-infra-imageserver2.azureedge.net/clink/images/5929c5cc-f1ef-4815-9ee9-111154f59f4dd1eedaf3-8054-4ded-ade5-924ebe639080.jpg?preset=med-sq,"Chico State Men's Rugby Club is a highly competitive and Nationally recognized Rugby program. In 2013, Chico State University Men’s Rugby Club, won the Pacific Western Rugby Conference and made the D1-AA round of “Sweet 16” where Chico State finished a respectable 12th of 146 teams in the US. In both 2014 and 2015 Chico State were runners up in the conference and he club has been ""Club Champions"" for the past three years. In the 2016/2017 regular season, Chico State defeated the 2x undefeated defending national champions, UC Davis. This win was massive as it secured us as the ""Club Champions"" once again. in 2015, the club made it into the D1-AA National ranking system and was ranked at #42 in the country.... In May of 2018 the Chico State Mens Rugby team won the league and brought back the First place trophy in our league. As the club continues to build and mold together, we continuously improve each year."
Men's Soccer,https://se-infra-imageserver2.azureedge.net/clink/images/e5d11f33-bca7-4a0f-9884-ef9228be66fac9482f06-8be1-4664-b233-767af32d05c3.jpg?preset=med-sq,"The mission of the California State University Chico Men’s Club Soccer Team is to provide a competitive option for men’s soccer on this campus. Our purpose is to strive as an organization on and off the field. Our goal is not only to win but to also promote the sport of soccer on our campus. This club should most importantly teach our players life skills that will last forever. Soccer will be the basis for teaching commitment, discipline, cooperation, sportsmanship, and integrity. Without these values, we are just a bunch of people playing the game to win. It is our aim to teach our players how to be respectful, successful individuals while playing the sport we love, soccer."
Men's Ultimate,https://se-infra-imageserver2.azureedge.net/clink/images/c2587f28-3703-4d84-8b48-40e14ca681622925baea-d287-423f-9336-60946e69a0d6.jpg?preset=med-sq,Men's Ultimate is a men's sport club dedicated to the awesome sport of Ultimate Frisbee.
Men's Volleyball,https://se-infra-imageserver2.azureedge.net/clink/images/d6b59803-f804-4362-ac9c-224e5de7fe02b0005377-06fe-4723-8a30-0073e618ff90.jpg?preset=med-sq,"Welcome to the Chico State Men's Volleyball Club Team! We're just a tight-knit group of guys that love playing competitive volleyball at a high level. We are part of the Northern California Collegiate Volleyball League (NCCVL) and compete against University of Pacific, UC Davis, Sacramento State, University of Reno and Sonoma State in the Northern Section of Division 1. Last year we finished 2nd in our league falling short to Cal Poly who is ranked in the top 10 in the Nation. We also play against teams from all over the country in tournaments and conclude each season with a trip to the National Collegiate Volleyball Federation Championship Tournament. Last season we went to St. Louis, MO, for Nationals where we get to play against more Nationally ranked team for a higher level of competition. This year nationals will be held in Denver, CO. Even though our regular season takes place from January-March with Nationals in April, we begin team activities soon after the start of the fall semester. Recruiting, Wrec open gyms, Shurmer open gyms and official try outs are all completed by early November. Once the team is formed, we practice 2-3 times a week, usually in the evenings. We typically play in 1 pre season tournaments in Northern California before heading into winter break. After a week of practice in mid-January, we begin our regular season, playing matches each weekend throughout the first 10 weeks of the semester. Our matches are held Friday-Sunday as we continue to practice at least 2 times week. Feel free to reach out to us through email if you have any questions, comments or concerns. Hope to see you on the court! Jacob Brannon Chico State Men's Volleyball President, 2018-2019"
Men's Water Polo,https://se-infra-imageserver2.azureedge.net/clink/images/be686ff9-f303-4e85-bf50-86f7b87a130e6461cf34-6ca8-49c8-88fa-6702fd8e39ba.jpg?preset=med-sq,"Chico State Water Polo (Chico Polo) is a competitive sports club belonging to the Sierra Pacific Division of the Collegiate Water Polo Association (CWPA). Created in 1985, Chico Polo competes against schools such as, UC Davis, UC Berkely, UC Santa Cruz, Stanford, San Jose State and many more. The team has experienced overwhelming success in the past years, making appearances in 4 of the last 6 championship games (2010, 2011, 2013, 2014), and hopes to build on that success by making their first Men's national tournament appearance in November. Practices are held Monday - Thursday from 8:30pm - 10:30pm at the WREC. Although we do not have home games, our team is able to maintain an amazing fan base thanks to our unrivaled student and parent support. Please come support Chico at our next tournament! Tournament details can be found on our Orgsync calendar, or by contacting our Club President, Chase Milhous. Go Wildcats!"
Meriam Library Makerspace,https://se-infra-imageserver2.azureedge.net/clink/images/17c8dfca-e766-425e-9be7-7d5a0558f14a088915d9-008b-4500-825a-816b83f089a1.jpg?preset=med-sq,"The Makerspace is a place where you can experiment, create, explore, and collaborate! We offer a variety of tools and equipment, along with a team of student advisers dedicated to helping students and staff with designing and making their own creative projects."
Momentum Choreography Collective,https://se-infra-imageserver2.azureedge.net/clink/images/b4dab1ea-db5e-431c-8cc5-853ac80863461b2f19c8-3920-4fdc-b13b-46618ed08b26.jpg?preset=med-sq,"Momentum is a student run dance club at Chico State. We are a group of dancers, directors, and choreographers who are passionate about keeping dance alive on campus. Our show is choreographed and designed entirely by students, and put on at the end of each semester. We are Co-Ed, offer multiple styles, and offer levels from beginning to advanced."
Movimiento Estudiantil Chicanx de Aztlan (MEChA),https://se-infra-imageserver2.azureedge.net/clink/images/ff01a1af-7bf8-48c3-8c82-f1a391cb871e698c7722-f048-4ff2-b026-4393048cd414.jpg?preset=med-sq,"Movimiento Estudiantil Chicanx de Aztlán (M.E.Ch.A) is a student organization that promotes higher education, cultura, and historia. M.E.Ch.A was founded on the principles of self-determination for the liberation of our people. We believe that political involvement and education is the avenue for change in our society. Each word in M.E.Ch.A symbolizes a great concept in terms of la causa (the cause). Movimiento means that the organization is dedicated to the movement to gain self-determination for our people. Estudiantil, identifies the organization as a student group for we are part of our community's future. At the heart of the name is the use of the identity: Chicanx. At first seen as a derogatory word, now taken for a badge of honor. In adopting their new identity, the students committed themselves to return to the barrios, colonias, or campos and together, struggle against the forces that oppress our people. Lastly, the affirmation that we are Indigenous people to this land by placing our movement in Aztlan, the homeland of all peoples from Anahuak. We are self aware that the term Aztlán is problematic in itself. The Aztlán ideology reinforces the idea that the Mexica originated in this territory and therefore it rightfully belongs to them. What this fails to address is that this land does not belong to the Mexica, but belongs to other tribes besides the Mexica. On campuses across Aztlan, M.E.Ch.A and MEChistAs are often the only groups on campus raza and non-raza alike that seek to open the doors of higher education for our communities and strive for a society free of imperialism, racism, sexism, and homophobia. An inspirational statement in El Plan Santa Barbara that speaks to this notes: ""M.E.Ch.A must bring to the mind of every young Chicana and Chicano that the liberation of her/his people from prejudice and oppression is in her/his hands and this responsibility is greater than personal achievement and more meaningful than degrees, especially if they are earned at the expense of her/his identity and cultural integrity. M.E.Ch.A, then, is more than a name; it is a spirit of unity, of sisterhood and brotherhood, and a resolve to undertake a struggle for liberation in society where justice is but a word. M.E.Ch.A is a means to an end"" (El Plan de Santa Barbara). Follow our Social Media Pages to get a Visual to what we are all about (Click the upper right icons.)"
Multicultural & Gender Studies Department,https://se-infra-imageserver2.azureedge.net/clink/images/3f550311-f086-4cc1-9f5b-2fd34cad44fce7387c2c-3c28-482a-a4ab-26a489e8697a.png?preset=med-sq,"We offer three majors and eight minors, in which you can focus on:"
National Association for Music Education,https://se-infra-imageserver2.azureedge.net/clink/images/450271bf-ff94-4396-9275-2c5bfbc7579dd29bf07c-58e7-4068-af1d-f6ce5685bec4.jpg?preset=med-sq,"A club for all music education majors or anyone interested in becoming a music educator. As part of NAfME you will will have the opportunity to meet guest speakers, performers, and music educators who will often give presentations on their experiences, research, & methods. We offer many opportunities every semester to participate in and observe local band and choir festivals as well as to attend the California All-State Music Educator's Conference in the Spring."
National Band Association,https://se-infra-imageserver2.azureedge.net/clink/images/60096503-2572-4278-b866-9ec482db88ce03b5a3c2-b896-4cac-9eae-db60a686700c.jpg?preset=med-sq,NA
National Science Teachers Association,https://se-infra-imageserver2.azureedge.net/clink/images/b724c2e0-c335-4254-be1d-7d411a599fc3bc5c41d2-3271-4bcd-98da-61fb7397e5de.png?preset=med-sq,"We are a club for Future Science Teachers. We get together twice a month for fun science activities, good food, plan upcoming events and to have a great time! NSTA is also involved in several volunteer activities throughout the year including activities at the Gateway Science Museum, Dinner with a Scientist and many more. If you have an interest in science or know that you want to become a science teacher, come and attend a meeting!"
National Society of Black Engineers (NSBE),https://se-infra-imageserver2.azureedge.net/clink/images/cadaa355-99af-4eae-9448-7587603665d988cb8f5c-4a58-4ab8-8a09-c896fe212ca2.jpg?preset=med-sq,"In 1971, two Purdue undergraduate students, Edward Barnette (now deceased) and Fred Cooper approached the dean of engineering at Purdue University with the concept of starting the Black Society of Engineers (BSE). They wanted to establish a student organization to help improve the recruitment and retention of black engineering students. In the late 1960's, a devastating 80 percent of the black freshmen entering the engineering program dropped out. The dean agreed to the idea and assigned the only black faculty member on staff, Arthur J. Bond, as advisor. Barnett served as the first president of the BSE. The fledging group gained momentum in 1974, with the direction and encouragement of Bond and the active participation of the young men whose destiny was to become the founders of NSBE. Now known as the ""Chicago Six"", these men are Anthony Harris, Brian Harris, Stanley L. Kirtley, John W. Logan, Jr., Edward A. Coleman, and George A. Smith. Encouraged by their on-campus success, Anthony Harris, president of the Purdue chapter, wrote a letter to the presidents and deans of every accredited engineering program in the country (288), explained the Society of Black Engineers (SBE) concept and asked them to identify black student leaders, organizations and faculty members who might support their efforts on a national basis. Approximately 80 schools responded. Many had similar Black student organizations with similar objectives. A date was set for the first national meeting and 48 students representing 32 schools attended the event, held April 10-12, 1975. Harris also changed the organizations' nomenclature from the BSE to the Society of Black Engineers (SBE). It was at that historic meeting through majority vote, that SBE became the National Society of Black Engineers. The familiar NSBE symbol ""N"" with lightning bolts was chosen and it remains a distinctively recognizable symbol representing the premier technical organization for African American engineering students and professionals. NSBE was eventually incorporated in Texas, in 1976 as 501©3 non-profit organization. John Cason, also of Purdue, served as the first elected president of NSBE. As the organization grew, Virginia Booth became the first female National Chairperson and the first to serve two terms 1978-1980. The torch symbolizes members' everlasting, burning desire to achieve success in a competitive society and positively affect the quality of life for all people. The lightening bolt represents the striking impact that will be felt by the society and industry due to the contributions and accomplishments made by the dedicated members of the National Society of Black Engineers. NSBE has since grown from six to over 31,000 members and the annual meeting has blossomed into the Annual National Convention, hosting over 8,000 attendees. NSBE has 99 active NSBE Jr. pre-college, 250 student and 68 professional chapters. Headquartered in Alexandria, Va., NSBE offers academic excellence programs, scholarships, leadership training, professional development and access to career opportunities for thousands of members annually. With over 2000 elected leadership positions, 18 regional conferences and an annual convention, NSBE provides opportunities for success that remain unmatched by any other organization."
National Student Speech Language & Hearing Association (NSSLHA),https://se-infra-imageserver2.azureedge.net/clink/images/e1b3b01a-ecac-4366-b0df-b5499c17d7c4e499f35d-1662-4e51-85be-a5e9b2dd1b4e.jpg?preset=med-sq,NSSLHA stands for the National Student Speech-Language-Hearing Association. The Chico State NSSLHA chapter is formed by undergraduate and graduate students interested in the study of normal and disordered human communication behavior. NSSLHA is the only official national student association recognized by the American Speech-Language-Hearing Association.
Newman Catholic Center,https://se-infra-imageserver2.azureedge.net/clink/images/39c14e05-2dce-4625-914f-01459bf629d5c1ce1776-6bcf-43ad-9718-301e085541bc.jpg?preset=med-sq,"The Newman Center is a diverse and inclusive community of faith which promotes fellowship, charity, and spirituality in the Catholic tradition."
"Nu Alpha Kappa Fraternity, Inc",https://se-infra-imageserver2.azureedge.net/clink/images/e2678822-a958-413f-a5b7-f9ce5ba01e295f3ed8ed-8d70-43b7-8eba-09eeb310e08a.jpg?preset=med-sq,"Nu Alpha Kappa is a Latino-based fraternity which encompasses and values all cultures. Our membership has grown from 11 men at one chapter in San Luis Obispo, to over 2,500 men across California, Colorado and Nevada. ""We, NU ALPHA KAPPA, seek to unite and involve all students in a more harmonious and brotherly atmosphere through academic, social and cultural means. There is a need to interface the various backgrounds that constitute the student body of our fraternal university chapter, in order to improve relations amongst all students and the community."""
Nutrition and Food Science Association (NFSA),https://se-infra-imageserver2.azureedge.net/clink/images/8a70270a-78fb-4711-a2a5-da39be0f84d5c75bf9da-68f7-4dab-896e-c2cdcbf59b0e.jpg?preset=med-sq,"The Nutrition and Food Science Association (NFSA) of California State University, Chico prepares students to become advocates of the nutrition profession through opportunities to practice leadership and serve the public by providing optimal nutrition, health, and well-being information. NFSA aims to accomplish this mission through participation in university special events, coordinated learning opportunities with other university departments and clubs, and through active service in the community as a whole. NFSA's Home Page: http://www.csuchico.edu/nfsc/nfsa/index.shtml NFSA's Merchandise: http://www.csuchico.edu/nfsc/nfsa/nfsa%20merchandise.shtml Job's Opening/Externship: http://www.csuchico.edu/nfsc/nfsa/jobs.shtml Contact Officers: http://www.csuchico.edu/nfsc/nfsa/contact-list.shtml NFSA's Officer Positions: http://www.csuchico.edu/nfsc/nfsa/NFSA%20Officer%20Position.shtml"
Office of Civic Engagement,https://se-infra-imageserver2.azureedge.net/clink/images/36549c3a-6366-40df-a5df-91e04ec6c008efd9d7ee-f933-4f1c-b341-87c032f10aea.jpeg?preset=med-sq,"Chico State's Civic Engagement promotes, strengthens, sustains, and recognizes civic engagement initiatives that are consistent with the strategic priorities of CSU, Chico. We believe in respectful mutual partnerships with the broader community that foster socially and environmentally responsible students, faculty, and staff. We work to engage students and faculty throughout our 12-county North State service area. Read our Strategic Plan (PDF)."
Omicron Theta Epsilon- Biology Honors Society,https://se-infra-imageserver2.azureedge.net/clink/images/b72e3a95-47ee-43e1-9713-afabb8dd6b4d22421fcf-5c0b-4496-a0a9-f730ae559a9b.jpg?preset=med-sq,"Omicron Theta Epsilon is the Biology Honors Society and was established in 1927 by Vesta Holt. We encourage interest in biology and biology-based research, and promote communication between students and faculty. We encourage student engagement by volunteering at, and hosting, community events."
Operation and Supply Chain Management Club,https://se-infra-imageserver2.azureedge.net/clink/images/d04d44e9-62c0-4745-962c-89ee040293830577e341-a973-4263-b6b6-ffed973d3ac6.png?preset=med-sq,"The purpose of the Operation and Supply Chain Management Club is to offer students an environment in which they can learn, create their own club, and participate in research in the field of Operations and Supply Chain Management. Our goal is to provide Chico State students with real world experience in the field of Operations and Supply Chain Management by bringing them together with alumni and connecting them with large, prosperous employers. There will also be an opportunity to participate in the ACSM Case Competition in collaboration with Deloitte."
